,Location,Hot Water,Potable Water,Heating Facilities Required,Temperature Requirements,Asbestos Material,Use of Lead Paint Prohibited,Safe Condition,Smoke Detectors and Carbon Monoxide Alarms,Total
0,boston,30.0,1.0,45.0,40.0,0.0,0.0,2.0,121.0,116.0
1,dorchester,29.0,3.0,41.0,32.0,0.0,1.0,7.0,181.0,106.0
2,roxbury,15.0,0.0,17.0,12.0,0.0,0.0,1.0,43.0,44.0
3,jamaicaplain,10.0,1.0,14.0,7.0,0.0,0.0,3.0,27.0,32.0
18,southboston,2.0,0.0,21.0,9.0,0.0,0.0,1.0,26.0,32.0
4,mattapan,10.0,0.0,10.0,5.0,1.0,0.0,4.0,33.0,26.0
11,milton,3.0,1.0,6.0,6.0,0.0,0.0,2.0,16.0,16.0
6,eastboston,5.0,0.0,8.0,2.0,0.0,0.0,3.0,20.0,15.0
8,brookline,4.0,0.0,3.0,7.0,0.0,0.0,2.0,23.0,14.0
16,brighton,2.0,0.0,3.0,8.0,0.0,0.0,0.0,19.0,13.0
7,roslindale,4.0,0.0,3.0,5.0,0.0,0.0,1.0,17.0,12.0
5,hydepark,6.0,1.0,2.0,1.0,0.0,1.0,3.0,38.0,11.0
33,quincy,1.0,0.0,4.0,4.0,0.0,0.0,3.0,19.0,9.0
9,randolph,3.0,1.0,3.0,1.0,0.0,0.0,0.0,20.0,8.0
36,allston,1.0,0.0,2.0,5.0,0.0,0.0,1.0,14.0,8.0
37,brockton,1.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,6.0
41,braintree,0.0,0.0,4.0,2.0,0.0,0.0,0.0,3.0,6.0
15,canton,2.0,0.0,3.0,1.0,0.0,0.0,1.0,8.0,6.0
28,stoughton,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,4.0
14,winchester,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0
29,dedham,1.0,0.0,2.0,1.0,0.0,0.0,0.0,13.0,4.0
38,southeaston,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0
10,waban,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
35,newton,1.0,0.0,1.0,1.0,0.0,0.0,1.0,8.0,3.0
42,sudbury,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0
45,chestnuthill,0.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,3.0
17,silverspring,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
40,chelsea,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,3.0
46,northdartmouth,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
49,manchester,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
52,nan,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0
54,wintergarden,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
44,weston,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
43,woburn,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0
55,bedford,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
57,norwell,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0
58,weymouth,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
64,melrose,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0
62,northandover,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
61,lewisville,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0
63,irvine,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
27,revere,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0
12,norwood,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
26,sharon,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
13,vienna,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
24,medford,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0
39,everett,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
22,arlington,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
68,cataumet,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
67,nedham,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
66,westwood,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
65,newburgpark,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
19,andover,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
60,winthrop,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
59,wayland,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
21,squantum,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
20,tauton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
56,fallriver,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
48,holbrook,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
23,franklin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
